,uid,target
397,755922011,1
398,755886109,1
399,755883277,1
400,755881556,1
401,755877082,1
402,755876676,1
403,755876077,1
404,755873807,1
405,755873261,1
406,755864584,1
407,755864263,1
408,755864242,1
409,755862968,1
410,755847540,1
411,755845372,1
412,755844105,1
413,755842930,1
414,755842398,1
415,755840582,1
416,755835058,1
417,755830090,1
418,755829721,1
419,755829121,1
420,755826170,1
421,755823745,1
422,755821242,1
423,755821147,1
424,755817240,1
425,755815615,1
426,755814829,1
427,755813453,1
428,755811044,1
429,755808786,1
430,755808469,1
431,755808261,1
432,755807336,1
433,755805608,1
434,755805528,1
435,755802778,1
436,755802143,1
437,755800943,1
438,755800142,1
439,755798745,1
440,755796693,1
441,755796140,1
442,755794522,1
443,755792330,1
444,755790561,1
445,755787844,1
446,755784035,1
447,755725093,1
448,755725072,1
449,755725034,1
450,755723528,1
451,755722781,1
452,755720540,1
453,755719087,1
454,755718425,1
455,755718407,1
456,755708086,1
457,755706387,1
458,755699680,1
459,755697406,1
460,755692942,1
461,755692874,1
462,755671929,1
463,755660631,1
464,755657042,1
465,755650509,1
466,755632303,1
467,755631542,1
468,755627754,1
469,755624648,1
470,755622605,1
471,755622078,1
472,755620437,1
473,755618785,1
474,755618673,1
475,755615360,1
476,755615325,1
477,755614268,1
478,755614050,1
479,755612884,1
480,755610199,1
481,755609477,1
482,755609100,1
483,755600378,1
484,755594479,1
485,755591084,1
486,755519502,1
487,755514269,1
488,755510280,1
489,755510062,1
490,755504528,1
491,755503594,1
492,755479375,1
493,755295404,1
494,755285469,1
495,755223630,1
496,754912708,1
497,754887079,1
498,754886589,1
499,754885545,1
500,754884375,1
501,754882012,1
502,754875613,1
503,754875297,1
504,754818869,1
505,754816576,1
506,754770919,1
507,754746335,1
508,754677072,1
509,754672411,1
510,754672226,1
511,754671095,1
512,754671076,1
513,754669697,1
514,754665910,1
515,754663559,1
516,754661507,1
517,754660196,1
518,754657212,1
519,754655397,1
520,754444653,1
521,754384487,1
522,754379906,1
523,754375966,1
524,754375401,1
525,754374844,1
526,754336564,1
527,754250613,1
528,754249002,1
529,754188247,1
530,754188225,1
531,754186082,1
532,754163301,1
533,754158350,1
534,754156779,1
535,754001373,1
536,753992956,1
537,753983577,1
538,753946237,1
539,753889789,1
540,753772385,1
541,753755919,1
542,753740366,1
543,753735213,1
544,753732347,1
545,753731810,1
546,753623114,1
547,753577823,1
548,753566598,1
549,753526879,1
550,753514625,1
551,753491590,1
552,753440311,1
553,753419631,1
554,753415146,1
555,753415110,1
556,753414295,1
557,753401858,1
558,753376378,1
559,753371363,1
560,753340020,1
561,753261915,1
562,753065937,1
563,753058146,1
564,753006980,1
565,752980131,1
566,752972901,1
567,752972456,1
568,752971929,1
569,752969172,1
570,752964663,1
571,752964557,1
572,752956378,1
573,752955955,1
574,752954147,1
575,752947573,1
576,752936836,1
577,752878835,1
578,752869003,1
579,752857607,1
580,752856810,1
581,752843507,1
582,752843139,1
583,752831202,1
584,752819470,1
585,752804458,1
586,752804421,1
587,752799896,1
588,752776558,1
589,752728920,1
590,752656150,1
591,752623065,1
592,752620489,1
593,752620335,1
594,752620119,1
595,752615392,1
596,752600427,1
597,752588951,1
598,752580179,1
599,752579668,1
600,752579620,1
601,752575317,1
602,752571792,1
603,752571185,1
604,752489552,1
605,752487402,1
606,752486529,1
607,752475271,1
608,752472265,1
609,752455990,1
610,752448829,1
611,752373030,1
612,752315291,1
613,752314897,1
614,752178087,1
